Audio File ID,Target Text,Coded Lines,Speaker ID,Start Time,End Time
reading-32m-11,I don't even know how to say some of these words,&-um I don't even know how to say some of these words,PAR,1.2,5.0
reading-32m-12,so here we are in friuli tucked away in a remote corner of the alpine foothills in northeastern italy at a little restaurant,so here we are in ↫f:ri:↫f:riuli tucked away in a remote corner of the alpine foothills in n↫n:ortheastern (.) italy at a ≠little restaurant,PAR,6.3,23.2
reading-32m-13,I have to admit that when I travel history is not the first thing on my mind,I have to admit that when I travel history is not the first thing on my mind,PAR,23.2,28.3
reading-32m-14,food and wine are,food and wine are,PAR,28.7,31.6
reading-32m-15,and that's what sold me on friuli,and that's what sold me on f≠riuli,PAR,31.6,35.0
reading-32m-16,it's famous as a source of some of italy's best white wines,it's famous as a source of some of ≠italy's best white wines,PAR,35.0,40.2
reading-32m-17,we went primarily in search of wines unaware that we soon would make a culinary detour,we went primarily in search of wines unaware that we soon would make a ↫c↫c≠ulinary detour,PAR,40.2,47.4
reading-32m-18,occupying the extreme northeast corner of Italy friuli's scenery ranges from rugged coastline along the eastern border to,occupying the extreme northeast corner of ≠Italy ↫fr-fr↫friuli's scenery ranges from rugged coastline along the eastern border to &+pl &-uh to,PAR,47.4,59.7
reading-32m-19,placid plains,(..) ≠placid plains,PAR,65.0,67.0
reading-32m-20,in the west and the majestic alps in the north where italy butts up against austria,in the west and the majestic alps in the ↫n↫n:orth where ≠italy butts up against austria,PAR,67.0,78.0
reading-32m-21,directly to the south is venice just a little more than an hour and a half away,directly to the south is v:enice just a little more than an hour and a half away,PAR,78.0,85.0
reading-32m-22,though off the beaten tourist track friuli is heart in the path of history,though off the beaten tourist track friuli is heart in the path of history,PAR,86.0,91.0
reading-32m-23,standing at one of the major crossroads between western europe and the east,standing at ≠one of the major crossroads between western europe and the east,PAR,92.5,97.5
reading-32m-24,it was conquered by just about everyone who passed by,it was conquered by just about everyone who passed by,PAR,98.0,101.0
reading-32m-25,as a result things look different here,as a result things look ≠different here,PAR,101.0,104.0
reading-32m-26,rather than the familiar cultural overlay of most of italy the central european influence is readily apparent in friuli,rather than the: familiar cultural overlay of most of ↫i-i↫italy the central european influence is readily apparent in friuli,PAR,104.0,116.0
reading-32m-27,the architecture tends more toward austrian grandeur than tuscan simplicity,the architecture tends more toward austrian grandeur than tuscan <s:impli↫c-c↫> [/] simplic:ity,PAR,116.6,128.1
reading-32m-28,here you'll find gray stone castles rather than sun drenched villas,here you'll find gray stone castles rather than sun drenched ≠villas,PAR,128.7,134.4
reading-32m-29,the people look different too,the people look different too,PAR,135.5,138.0
reading-32m-30,taller and blonder than southern italians and with plenty of german and central european surnames,(.) taller and blonder than southern italians and with plenty of german and c:entral european s:urnames,PAR,139.7,147.7
reading-32m-31,I think that's it,&-uh I think that's it,PAR,150.8,152.45
reading-29ma-12,so here we are in friuli,so here we are in friuli,PAR,2.3,5.25
reading-29ma-13,tucked away in a remote corner of the alpine foothills in northeastern italy,tucked away in a remote corner of the alpine foothills in northeastern italy,PAR,5.25,10.13
reading-29ma-14,at a little restaurant,at a l:ittle restaurant,PAR,10.13,12.1
reading-29ma-15,I have to admit,I have to admit,PAR,12.1,13.24
reading-29ma-16,that when I travel,that when I travel,PAR,13.24,14.3
reading-29ma-17,history is not the first thing on my mind,history is not the first thing on my mind,PAR,14.3,16.8
reading-29ma-18,food and wine are,food and wine are,PAR,16.8,18.3
reading-29ma-19,and that's what sold me on friuli,and that's what sold me on friuli,PAR,18.3,20.6
reading-29ma-20,it is famous as a source of some of italy's best white wines,it is famous as a source of some of italy's best white wines,PAR,20.6,24.3
reading-29ma-21,we went primarily in search of wines,we went pri:marily in search of wines,PAR,24.3,27.4
reading-29ma-22,unaware that we soon would make a culinary detour,unaware that we soon would make a culinary detour,PAR,27.4,31.2
reading-29ma-23,occupying the extreme northeast corner of italy,occupying the extreme northeast corner of italy,PAR,31.2,34.75
